Abbasidia  (4016,3180)  (4108,3226) (4186,3226) (4030,3226) (4030,3286) (4108,3286) (4186,3286) (4030,3346) (4108,3346) (4186,3346) (4030,3406) (4108,3406) (4186,3406)  (4035,3411) | overflowToLeft=false 
Andaman Sea  (6602,4878)  (6680,4878)  (6524,4878)  (6524,4938)  (6602,4938)  (6680,4938)  (6524,4998)  (6602,4998)  (6680,4998) | overflowToLeft=false 
Angleterra (1469,2152) (1580,2200)  (1658,2200)  (1502,2200)  (1502,2260) (1580,2260)  (1658,2260)   (1502,2320) (1580,2320)  (1658,2320)  (1502,2380) (1580,2380)  (1658,2380)  (1507,2385)  | overflowToLeft=false    
Antarctic Coast   (3090,6693)  (3165,6693)  (3015,6693)  (3015,6753)   (3090,6753)  (3165,6753)  | overflowToLeft=false
Antarctica Central (3807,6883) (3940,6935) (4018,6935) (3862,6935) (3862,6995) (3940,6995) (4018,6995) | overflowToLeft=false 
Antarctica East  (5437,6839) (5568,6884) (5646,6884) (5490,6884) (5490,6944) (5568,6944) (5646,6944)  (5490,7004) (5568,7004) (5646,7004) (5722,6884) (5722,6944) (5722,7004) (5412,6884) (5412,6944) (5412,7004) (5417,6889) | overflowToLeft=false 
Antarctica West  (1839,6838) (1968,6884) (2046,6884) (1890,6884) (1890,6944) (1968,6944) (2046,6944)  (1890,7004) (1968,7004) (2046,7004) (2122,6884) (2122,6944) (2122,7004) (1812,6884) (1812,6944) (1812,7004) (1817,7009) | overflowToLeft=false 
Antipodes Norte  (7217,1129) (7408,1175) (7330,1175) (7330,1235) (7408,1235) (7335,1240) | overflowToLeft=false 
Antipodes Suden  (2357,4369) (2529,4414)  (2451,4414)  (2451,4474)  (2529,4474) (2456,4479) | overflowToLeft=false 
Arabya  (4023,3649) (4104,3697)  (4182,3697) (4026,3697) (4026,3757) (4104,3757) (4182,3757)  (4026,3817) (4104,3817) (4182,3817)  (4026,3877) (4104,3877) (4182,3877) (4031,3882) | overflowToLeft=false  
Arabyan Gulf  (5030,3804) (5108,3804) (4952,3804) (4952,3864) (5030,3864) (5108,3864) (4952,3924) (5030,3924) (5108,3924) (4952,3984) (4874,3804) (4874,3864) (4874,3924) (4874,3984) (5030,3984) | overflowToLeft=false  
Archangel  (3781,799) (3885,847) (3961,847) (3807,847) (3807,907) (3885,907) (3961,907) (3807,967) (3885,967) (3961,967) (3807,1027) (3885,1027) (3961,1027) (3812,1031) | overflowToLeft=false  
Arctic Strait (5650,1020) (5728,1020) (5572,1020)  (5572,1080) (5650,1080) (5728,1080) (5572,1140) (5650,1140) (5728,1140) (5572,1200) (5650,1200)(5728,1200) | overflowToLeft=false 
Arctica Center  (5427,451)  (5518,500)  (5590,500)  (5440,500)  (5518,560)  (5590,560)  (5440,560)   (5518,620)  (5590,620)  (5440,620)  (5518,680)  (5590,680)  (5440,680)  (5523,685)  | overflowToLeft=false
Arctica East  (6084,449)  (6180,500)  (6258,500)  (6102,500)  (6102,560)  (6180,560)  (6258,560) (6102,620)  (6180,560,620)  (6258,620)  (6102,680)  (6180,680)  (6258,680) (6107,685)  | overflowToLeft=false
Arctica West  (4707,451)  (4808,500)  (4896,500)  (4730,500)  (4730,560)  (4896,560)  (4896,560)  (4730,620)  (4896,620)  (4896,620)  (4730,680)  (4896,680)  (4896,680)  (4735,685) | overflowToLeft=false
Atlantic Ocean 1  (8508,580)  (8586,580)  (8430,580) (8430,640)  (8508,640)  (8586,640)  (8430,700)  (8508,700)  (8586,700)  (8430,760)  (8508,760) 8586,760)  (8430,820)  (8508,820)  (8586,820) | overflowToLeft=false 
Atlantic Ocean 10  (688,6507)  (766,6507)  (610,6507)  (610,6567)  (688,6567)  (766,6567)  (610,6627)  (688,6627)  (766,6627)  (610,6687)  (688,6687)  (766,6687)  (610,6747)  (688,6747)  (766,6747) | overflowToLeft=false
Atlantic Ocean 11  (2228,6395) (2306,6395) (2150,6395) (2150,6455) (2228,6455) (2306,6455) (2150,6515) (2228,6515) (2306,6515) (2150,6575) (2228,6575) (2306,6575) (2150,6635) (2228,6635) (2306,6635)| overflowToLeft=false
Atlantic Ocean 2  (1932,536) (1992,536) (1854,536) (1854,596) (1932,596) (1992,596) (1854,656) (1932,656) (1992,656) (1854,716) (1932,716) (1992,716) (1776,536) (1776,596) (1776,656) (1776,716)  | overflowToLeft=false 
Atlantic Ocean 3  (608,1460)  (686,1460)  (538,1460) (538,1520)  (608,1520)  (686,1520)  (538,1580)  (608,1580)  (686,1580)   (538,1640)  (608,1640)  (686,1640)   (538,1700)  (608,1700)  (686,1700)   (538,1760)  (608,1760)  (686,1760) | overflowToLeft=false
Atlantic Ocean 4  (230,2058)  (308,2058)  (154,2058) (154,2118)  (230,2118) (308,2118) (154,2178)  (230,2178) (308,2178) (154,2238) (230,2238)  (308,2238) | overflowToLeft=false
Atlantic Ocean 5  (658,2756) (736,2756) (580,2756) (580,2816) (658,2816) (736,2816) (580,2876) (658,2876) (736,2876) (580,2936) (658,2936) (736,2936) (580,2996) (658,2996) (736,2996) (585,3001) | overflowToLeft=false
Atlantic Ocean 6  (8544,3383)  (8622,3383)  (8466,3383) (8466,3443)  (8544,3443)  (8622,3443)  (8466,3503)  (854,3503)  (8622,3503) (8466,3563)  (8544,3563)  (8622,3563)  (8466,3623)  (8544,3623)  (8622,3623)  (8471,3628) | overflowToLeft=false
Atlantic Ocean 7  (8564,4505)  (8642,4505)  (8488,4505)  (8488,4565) (8564,4565)  (8642,4565)  (8488,4625) (8564,4625)  (8642,4625)  (8488,4685) (8564,4685)  (8642,4685)  (8488,4745) (8564,4745)  (8642,4745)  (8493,4750) | overflowToLeft=false
Atlantic Ocean 8  (748,5311)  (826,5311)  (670,5311)  (670,5371)  (748,5371)  (826,5371)  (670,5431)  (748,5431)  (826,5431)  (670,5491)  (748,5491) (826,5491)  (670,5551)  (748,5551)  (826,5551) | overflowToLeft=false 
Atlantic Ocean 9 (2048,5603)  (2126,5603)  (1970,5603)  (1970,5663)  (2048,5663)  (2126,5663)   (1970,5723)  (2048,5723)  (2126,5723)   (1970,5783)  (2048,5783)  (2126,5783)  (1970,5843)  (2048,5843)  (2126,5843)  (1970,5923)  (2048,5923)  (2126,5923) | overflowToLeft=false
Atlantis  (409,3826)  (495,3874) (573,3874) (417,3874)  (417,3934) (495,3934) (573,3934)  (417,3994) (495,3994) (573,3994) (417,4054) (495,4054) (573,4054)  (419,3996) | overflowToLeft=false  
Atlas Sea  (818,4407)  (896,4407)  (740,4407)  (740,4467)  (818,4467)  (896,4467)  (740,4527)  (818,4527)  (896,4527)  (740,4587)  (818,4587)  (896,4587)  (740,4647)  (818,4647)  (896,4647)  (745,4652)  | overflowToLeft=false  
Avalon  (1121,5829)  (1218,5880)  (1296,5880)  (1140,5880)  (1140,5940)  (1218,5940)  (1296,5940)  (1140,6000)  (1218,6000)  (1296,6000)  (1140,6060)  (1218,6060)  (1296,6060)  (1140,6120)  (1218,6120)  (1296,6120) | overflowToLeft=false 
Balkani  (2929,2795) (3018,2844)  (3096,2844)  (2940,2844) (2940,2904)  (3018,2904)  (2862,2844)  (2862,2904)  (3174,2844)  (2862,2964)  (2784,2964)  (2706,2964) (2862,3024)  (2784,3024)  (2706,3024)  (2711,3029) | overflowToLeft=false
Balochistan  (4980,3301)  (5098,3348)  (5176,3348)  (5020,3348) (5020,3408)  (5098,3408)  (5176,3408)   (5020,3468)  (5098,3468)  (5176,3468)  (5020,3528)  (5098,3528)  (5176,3528)  (5020,3588)  (5098,3588)  (5176,3588)  (5020,3648)  (5098,3648)  (5176,3648)  (5025,3653) | overflowToLeft=false 
Baltic Sea  (2621,1759)  (2699,1759)  (2543,1759)  (2543,1819)  (2621,1819)  (2699,1819)   (2543,1879)  (2465,1759)  (2465,1819)  (2465,1879)  (2465,1939)  (2470,1939) | overflowToLeft=false 
Baltica  (2887,1604) (2966,1653)  (3044,1653)  (2888,1653) (2888,1713)  (2966,1713)  (3044,1713)  (2888,1773)  (2966,1773)  (3044,1773)  (2888,1833)  (2966,1833)  (3044,1833)  (2893,1838) | overflowToLeft=false 
Barentsz Sea  (3370,490)  (3448,490)  (3292,490)  (3292,550)  (3370,550)  (3448,550)  (3214,490)  (3214,550)  (3136,490)  (3136,550)  (3526,490)  (3604,490)  (3297,495) | overflowToLeft=false
Bavaria  (2337,2441)  (2422,2490)  (2500,2490)  (2344,2490)  (2344,2550)  (2422,2550)  (2500,2550)  (2344,2610)  (2422,2610)  (2500,2610)  (2344,2670)  (2422,2670)  (2500,2670)  (2349,2675) | overflowToLeft=false 
Bay-Tayginskiy  (5500,2210)  
Bengal  (6003,3414) (6080,3462) (6158,3462) (6002,3462)  (6002,3522)  (6080,3522)  (6158,3522)  (6002,3582)  (6080,3582)  (6158,3582)  (6080,3642)  (6007,3587) | overflowToLeft=false
Bengal Gulf  (6320,4007)  (6398,4007)  (6242,4007)  (6242,4067) (6320,4067)  (6398,4067) (6242,4127) (6320,4127)  (6398,4127)  (6164,4007)  (6164,4067)  (6164,4127)  (6476,4007)  (6476,4067)  (6476,4127)  (6175,4132) | overflowToLeft=false
Berber Bay  (1330,3978)  (1408,3978)  (1252,3978)  (1252,4038)  (1330,4038)  (1408,4038)  (1252,4098) (1330,4098)  (1408,4098)  (1252,4158) (1330,4158)  (1408,4158)  (1252,4758) (1330,4758)  (1408,4758) | overflowToLeft=false
Berbera  (1966,3796) (2055,3843)  (2133,3843)  (1977,3843) (1977,3903)  (2055,3903)  (2133,3903) (1977,3963)  (2055,3963)  (2133,3963)  (1899,3843) (1899,3903) (1899,3963) (1821,3903) (1821,3963) (1826,3968) | overflowToLeft=false 
Bering Bay (7858,620)  (7936,620)  (7780,620)  (7780,680)  (7858,680)  (7936,680)  (7708,620)  (7708,680)  (8014,620)  (8014,680)  (7630,620)  (7630,680)  (8092,620)  (8092,680)
Bessarabia  (3132,2472) (3237,2521) (3315,2521) (3159,2521) (3159,2581) (3237,2581) (3315,2581) (3159,2641) (3237,2641) (3315,2641)| overflowToLeft=false 
Biscaja Gulf (1393,2848)  (1471,2848) (1315,2848) (1315,2908) (1393,2908)  (1471,2908) (1315,2968) (1393,2968)  (1471,2968) (1315,3018) (1393,3018)  (1471,3018)  (1237,2848) (1237,2908) (1237,2968) (1237,3018) (1242,3023) | overflowToLeft=false 
Black Sea  (3528,2840) (3606,2840) (3450,2840)  (3450,2900) (3528,2900)  (3606,2900)  (3684,2840)  (3684,2900)  (3372,2840) (3294,2840) (3299,2845) | overflowToLeft=false
Borneo  (7070,4525) (7138,4572) (7216,4572) (7060,4572) (7060,4632) (7138,4632) (7216,4632) (7060,4692) (7138,4692) (7216,4692) (6982,4572) (6982,4632) (6982,4692) (7276,4572) (7276,4632) (7276,4692) (6987,4697) | overflowToLeft=false
Bothnia  (2745,1124)  (2662,1124)  (2662,1184)  (2740,1184)  (2662,1244)  (2740,1244)  (2662,1304)  (2740,1304)  (2667,1309) | overflowToLeft=false
Bukhara Emirate  (4640,2310) (4797,2357) (4875,2357) (4719,2357) (4719,2417) (4797,2417) (4875,2417) (4719,2477) (4797,2477) (4875,2477) (4719,2537) (4797,2537) (4875,2537) (4744,2542) | overflowToLeft=false 
Burma  (6382,3463) (6455,3513)  (6533,3513)  (6377,3513) (6377,3573)  (6455,3573) (6533,3573)  (6377,3633)  (6455,3633) (6533,3633)  (6377,3693)  (6455,3693) (6533,3693) (6382,3698) | overflowToLeft=false
Buyan  (5193,1058) (5273,1108) (5348,1108) (5195,1108) (5195,1168) (5273,1168) (5348,1168) | overflowToLeft=false 
Byelorus  (3288,1857) (3377,1906)  (3455,1906)  (3299,1906)  (3299,1966)  (3377,1966)  (3455,1966)  (3299,2026)  (3377,2026)  (3455,2026)  (3299,2086)  (3377,2086)  (3455,2086)  (3304,2091)  | overflowToLeft=false 
Canaan  (3676,3388) (3755,3436)  (3833,3436)  (3677,3436) (3677,3496) (3755,3496)  (3833,3496)  (3677,3556) (3755,3556)  (3833,3556)  (3677,3616) (3755,3616)  (3833,3616)  (3282,3621) | overflowToLeft=false
Cape Colony  (3561,6220) (3680,6270) (3758,6270) (3602,6270) (3602,6330) (3680,6330) (3758,6330) (3602,6390) (3524,6270) (3846,6270)  
Carpathians  (3011,2726) 
Caspia  (4160,2765) (4188,2825) (4196,2885) (4220,2945) (4220,3005) (4220,3065) (4240,3125)  | overflowToLeft=false
Cathay  (6771,2482) (6852,2529) (6940,2529) (6774,2529) (6774,2589) (6852,2589)  (6940,2589)  (6774,2649)  (6852,2649)  (6940,2649)  (6774,2709) (6852,2709) (6940,2709)  (6779,2714) | overflowToLeft=false 
Circassia  (3821,2623) (3918,2671) (3996,2671) (3840,2671) (3840,2731) (3918,2731) (3996,2731) (3762,2671) (3762,2731) (3684,2671) (3684,2731) (3689,2736)
Caucasus  (3856,2930)   
Celtica Sea  (1076,1771)  (1154,1771) (998,1771) (998,1831)  (1076,1831)  (1154,1831) (998,1891)  (1076,1891)  (1154,1891)  (998,1951)  (1076,1951)  (1154,1951) (920,1771) (920,1831) (920,1891) (920,1951) (925,1956) | overflowToLeft=false   
Chukchi  (7661,893)  (7748,940)  (7826,940)  (7670,940)  (7670,1000)  (7748,1000)  (7826,1000) (7670,1060)  (7748,1060)  (7826,1060) (7592,940)  (7592,1000)  (7592,1060)  (8004,940)  (8004,1000)  (8004,1060) | overflowToLeft=false 
Congo  (3455,4907)  (3522,4956)  (3600,4956)  (3444,4956)  (3444,5016)  (3522,5016)  (3600,5016) (3444,5076)  (3522,5076)  (3600,5076)  (3678,5016)  (3678,5076)  (3756,5016)  (3756,5076)  (3366,4956)  (3371,4961) | overflowToLeft=false
Coptia  (3132,3747)  (3201,3794)  (3279,3794) (3123,3794) (3123,3854) (3201,3854)  (3279,3854)  (3123,3914) (3201,3914)  (3279,3914)  (3123,3974) (3201,3974)  (3279,3974)  (3356,3794)  (3356,3854)  (3356,3914)  (3356,3794) (3128,3979) | overflowToLeft=false 
Coral Sea  (8218,5200) (8296,5200) (8140,5200) (8140,5260) (8218,5260) (8296,5260)  (8140,5320) (8218,5320) (8296,5320)  (8140,5380) (8218,5380) (8296,5380)  (8140,5440) (8218,5440) (8296,5440)  (8140,5500) (8218,5500) (8296,5500)  (8145,5505)   | overflowToLeft=false 
Costa Ivory  (1623,4793) (1738,4842)  (1816,4842)  (1660,4842)  (1660,4902) (1738,4902)  (1816,4902)  (1660,4962) (1738,4962)  (1816,4962)  (1660,5022) (1738,5022)  (1816,5022)  (1660,5082) (1738,5082) (1660,5142) (1738,5142)  (1665,5138) | overflowToLeft=false
Crater Lake  (3598,4712)  (3676,4712)  (3520,4712)  (3520,4772)  (3598,4772)  (3676,4772)  (3598,4772)  (3598,4772)  (3520,4736)  (3603,4777) | overflowToLeft=false 
Dakar Coast  (1348,5039) (1426,5039) (1270,5039) (1270,5099) (1348,5099) (1426,5099)  (1270,5159) (1348,5159) (1426,5159)  (1270,5219) (1348,5219) (1426,5219) (1506,5039) (1506,5099) (1506,5159) (1506,5219) (1511,5224) | overflowToLeft=false
Danemark  (2133,1748) (2231,1795)  (2309,1795)  (2149,1795) (2149,1855) (2231,1855)  (2309,1855)  (2149,1915) (2231,1915)  (2309,1915)  (2149,1975) (2231,1975)  (2309,1975)  (2154,1980) | overflowToLeft=false 
Darfur (3200,4484) (3280,4530)  (3358,4530)  (3202,4530)  (3202,4590)  (3280,4590)  (3358,4590)  (3200,4650)  (3280,4650)  (3358,4650)  (3202,4720)(3280,4720)  (3358,4720) (3207,4725)  | overflowToLeft=false 
Dvina  (4178,1080)  (4095,1140)  (4055,1200)  (4080,1260)  (4120,1320) | overflowToLeft=false 
Eastern Sea (7664,2340) (7742,2340) (7586,2340) (7586,2400) (7664,2400) (7742,2400)  (7586,2460)  (7664,2460)  (7586,2520) (7664,2520) (7586,2580)  (7586,2640) (7586,2700) | overflowToLeft=false 
Eire  (1162,2051) (1213,2097)  (1291,2097)  (1135,2097)  (1135,2157)  (1213,2157)  (1291,2157)   (1135,2217)  (1213,2217)  (1291,2217)  (1135,2277) (1213,2277) (1291,2277) (1140,2282)  | overflowToLeft=false 
Felipinas  (7302,3898) (7398,3946)  (7476,3946)  (7320,3946)  (7320,4006)  (7398,4006)  (7476,4006) (7320,4066) (7476,4066)  (7320,4126)  (7476,4126) (7320,4186)  (7476,4186) (7320,4246)  (7476,4246)  (7320,4306)  (7476,4306)  (7556,4186)  (7556,4246)  (7556,4306)  (7325,4311) | overflowToLeft=false 
Finmark  (2946,914) (3033,963) (3111,963)  (2955,963) (2955,1023) (3033,1023) (3111,1023)  (2955,1083) (3033,1083) (3111,1083)  (2955,1143) (3033,1143) (3111,1143)  (3000,1148)  | overflowToLeft=false 
Francia  (1868,2628)  (1955,2677)  (1877,2677)  (2033,2677)  (1877,2737)  (1955,2737)  (2033,2737)  (1877,2797)  (1955,2797)  (2033,2797)  (1877,2857)  (1955,2857)  (2033,2857) (1882,2862) | overflowToLeft=false      
Frisia  (2013,2165) (2077,2214) (2155,2214) (1999,2214) (1999,2274) (2077,2274) (2155,2274)  (1999,2334) (2077,2334) (2155,2334) (1921,2214) (1921,2274) (1921,2334) (1926,2339) | overflowToLeft=false  
Frisian Sea  (1867,1881) (1945,1881) (1789,1881) (1789,1941) (1867,1941) (1945,1941) (1789,2001) (1867,2001) (1945,2001)  (1789,2061) (1867,2061) (1945,2061)  (1789,2121) (1867,2121) (1945,2121)  (1804,2126) | overflowToLeft=false 
Gaoligong  (6560,3304) 
Germania  (2428,2032)  (2521,2078)  (2599,2078)  (2443,2078) (2443,2138)  (2521,2138)  (2599,2138)  (2443,2198)  (2521,2198)  (2599,2198)  (2443,2258)  (2521,2258)  (2599,2258)  (2448,2263) | overflowToLeft=false 
Gobi  (6375,2527) (6427,2578)  (6505,2578)  (6349,2578) (6349,2638)  (6427,2638)  (6505,2638)  (6349,2698)  (6427,2698)  (6505,2698) (6231,2578) (6231,2638)  (6231,2698)  (6236,2703) | overflowToLeft=false 
Gold Coast  (2120,4824)  (2225,4878) (2303,4878) (2147,4878) (2147,4938) (2225,4938) (2303,4938) (2147,4998) (2225,4998) (2303,4998) (2147,5058) (2225,5058) (2303,5058) (2069,4878) (2069,4938) (2074,4943) | overflowToLeft=false 
Guinea Basso  (2959,5238) (3078,5287) (3156,5287) (3000,5287) (3000,5347) (3078,5347) (3156,5347)  (3000,5407) (3078,5407) (3156,5407) (2922,5287) (3234,5287) (3234,5347) (3239,5352) | overflowToLeft=false 
Guinea Gulf  (2548,5291)  (2626,5291)  (2470,5291)  (2470,5351)  (2548,5351)  (2626,5351)  (2470,5411)  (2548,5411)  (2626,5411)  (2470,5471)  (2548,5471)  (2626,5471)  (2470,5531)  (2548,5531)  (2626,5531))  (2475,5536) | overflowToLeft=false 
Habsburg   (2711,2371) (2810,2417)  (2888,2417)  (2732,2417)  (2732,2477)  (2810,2477)  (2888,2477)  (2732,2537)  (2810,2537)  (2888,2537)  (2732,2597)  (2810,2597)  (2888,2597)  (2837,2602) | overflowToLeft=false 
Helheim Sea (698,1035)  (776,1035)  (620,1035)  (620,1095)  (698,1095)  (776,1095)  (620,1145)  (698,1145)  (776,1145)  (620,1205)  (698,1205)  (776,1205)  (542,1035)  (542,1095)  (542,1145)  (542,1205)  (547,1210) | overflowToLeft=false
Hellas  (2875,3076)  (2948,3123)  (3026,3123)  (2870,3123)  (2870,3183) (2948,3183)  (3026,3183)  (2870,3243) (2948,3243)  (3026,3243)  (2870,3303) (2948,3303)  (3026,3303)  (2875,3308) | overflowToLeft=false
Hellespont  (3205,3057) (3127,3057) (3127,3117) (3205,3117) (3127,3177) (3205,3177) (3127,3237) (3205,3237) (3132,3242)
Helvetica  (2212,2788) (2309,2833) (2386,2833) (2231,2833) (2231,2893) (2309,2893) (2386,2893) (2153,2833) (2153,2893) (2158,2838) | overflowToLeft=false 
Himalaya  (5742,3053)  (5708,2992)  (5887,3172)  (5984,3269)  (6087,3302)  (6200,3275) 
Hindu Kush  (5318,2966)
Hindustan  (5539,3477) (5642,3525) (5720,3525) (5564,3525) (5564,3585)  (5642,3585)  (5720,3585) (5564,3645) (5642,3645) (5720,3645) (5564,3705) (5642,3705) (5720,3705) | overflowToLeft=false  
Huangze (6658,2263) (6733,2263) (6733,2323) (6808,2323) (6808,2383) (6883,2383) (6968,2383) (7043,2383) (7118,2383)  | overflowToLeft=false 
Hydra Coast (1538,5674) (1616,5674) (1460,5674) (1460,5744) (1538,5744) (1616,5744) (1460,5808) (1538,5808) (1616,5808) (1460,5868) (1538,5868) (1616,5868) | overflowToLeft=false 
Iberia  (1629,3290) (1696,3337) (1774,3337) (1618,3337) (1618,3397) (1696,3397) (1774,3397) (1618,3457) (1696,3457) (1774,3457) (1618,3517) (1696,3517) (1774,3517) (1623,3522) | overflowToLeft=false 
Ice Sea  (1268,947)  (1346,947)  (1190,947)  (1190,1007)  (1268,1007)  (1346,1007) (1190,1067)  (1268,1067)  (1346,1067) (1112,947) (1112,1007) (1112,1067) (1424,947) (1424,1067)  (1424,1007) (1117,1072) | overflowToLeft=false
Indian Ocean 1  (5020,4870)  (5098,4870)  (4942,4870)  (4942,4930) (5020,4930)  (5098,4930)  (4942,4990) (5020,4990)  (5098,4990)  (4942,5050) (5020,5050)  (5098,5050) | overflowToLeft=false 
Indian Ocean 2  (6108,4540)  (6186,4540)  (6030,4540)  (6030,4600)   (6108,4600)  (6186,4600) | overflowToLeft=false 
Indian Ocean 3 (5468,6370)  (5546,6370)  (5390,6370)  (5390,6430) (5468,6430)  (5546,6430)  (5390,6490) (5468,6490)  (5546,6490)  (5390,6550) (5468,6550)  (5546,6550)  (5390,6610) (5468,6610)  (5546,6610)  (5395,6615) | overflowToLeft=false 
Indus  (4768,3429)  (4846,3429)  (4690,3429)  (4690,3489)  (4768,3489)  (4846,3489)  (4690,3549)  (4768,3549)  (4846,3549) (4768,3609)  (4846,3609)    (4695,3554) | overflowToLeft=false 	
Islandia  (1184,636)  (1270,684)  (1348,684)  (1192,684)  (1192,744)  (1270,744)  (1348,744)  (1192,804)  (1270,804)  (1348,804)  (1116,684)   (1116,744)  (1116,804)  (1122,690)  | overflowToLeft=false    
Italie  (2336,3116)  (2400,3165)  (2478,3165)  (2322,3165)  (2400,3225)  (2478,3225)  (2556,3225)  (2478,3285)  (2556,3285)  (2634,3285) (2556,3345)  (2634,3345)  (2712,3345)  (2556,3405)  (2634,3405)  (2712,3405) (2561,3410) | overflowToLeft=false
Java Sea  (6930,4316)  (7008,4316)  (6852,4316)  (6852,4376)  (6930,4376)  (7008,4376)  (6930,4436)  (7008,4436)  (6930,4506)  (7008,4506) | overflowToLeft=false
Joseon  (7268,2596)  (7343,2643)  (7421,2643)  (7265,2643)  (7265,2703) (7343,2703)  (7421,2703)  (7343,2763)  (7421,2763)  (7499,2763)  (7343,2823)  (7421,2823)  (7499,2823)  (7348,2828) | overflowToLeft=false 
Kamerun  (2883,4847) (2971,4895) (3049,4895) (2893,4895) (2893,4955) (2971,4955) (3049,4955) (2893,5015) (2971,5015) (3049,5015)  (2893,5075) (2971,5075) (3049,5075) (2825,4895)  (2825,4955) (2825,5015) (2825,5075) (2830,5080) | overflowToLeft=false 
Kamsjatka  (7846,1436) (7948,1484) (8026,1484) (7870,1484) (7870,1544) (7948,1544) (8026,1544)  (7870,1604) (7948,1604) (8026,1604)  (7870,1664) (7948,1664) (8026,1664)  (7875,1669) | overflowToLeft=false 
Kara Sea  (6294,1325) (6372,1325)  (6216,1325) (6216,1385) (6294,1385)  (6138,1325)  (6138,1385)  (6138,1445) (6060,1445) (6060,1505) (5982,1505)  (5982,1565)  (5982,1625)  (5982,1685)  (5904,1565)  (5904,1625)  (5904,1685)  (5826,1625)  (5826,1685) | overflowToLeft=false 
Karelia  (3337,936) (3416,984) (3494,984) (3338,984) (3338,1044) (3416,1044) (3494,1044) (3338,1104) (3416,1104) (3494,1104) (3250,984) (3250,1044) (3250,1104) (3572,984) (3572,1044) (3572,1104) (3269,1109) | overflowToLeft=false 
Kashmir  (5409,3090)  (5500,3140)  (5578,3140)  (5422,3140)  (5422,3200)  (5500,3200)  (5578,3200)  (5422,3260)  (5500,3260)  (5578,3260) (5422,3320)  (5500,3320)    | overflowToLeft=false 
Kazhan  (4255,1784) (4328,1834) (4406,1834) (4250,1834) (4250,1894) (4328,1894) (4406,1894) (4250,1954) (4328,1954) (4406,1954) (4250,2014) (4328,2014) (4406,2014) | overflowToLeft=false  
Kenya  (3867 ,4704) (3934,4752) (4012,4752) (3856,4752)  (3856,4812) (3934,4812) (4012,4812) (3856,4872) (3934,4872) (4012,4872) (3856,4932) (3934,4932) (4012,4932) (3861,4937) | overflowToLeft=false 
